system:index,EXG,EXR,ExGR,GLI1,NDVI,NGRDI,RI,VARI,lat,lon,res_m,.geo
70,861.0,-226.60000000000002,1087.6000000000001,0.3277502853720022,0.7962431,0.30832708,-0.30832708,0.4511525790876481,-0.9203689243446558,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9203689243446558]}"
71,766.0,-191.80000000000007,957.8,0.3018124506297035,0.79488343,0.29163408,-0.29163408,0.4408983446325079,-0.9203689243446558,-48.59261357964148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261357964148,-0.9203689243446558]}"
72,699.0,-151.60000000000002,850.6000000000001,0.29064449052364055,0.7846451,0.2700491,-0.2700491,0.4049079749633031,-0.9203689243446558,-48.59252374811307,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59252374811307,-0.9203689243446558]}"
73,591.0,-88.60000000000002,679.6000000000001,0.252025586246471,0.7655734,0.22845188,-0.22845188,0.35044929351675314,-0.9203689243446558,-48.59243391658466,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59243391658466,-0.9203689243446558]}"
74,617.0,-90.60000000000002,707.6000000000001,0.25891733098660624,0.76012224,0.22850123,-0.22850123,0.34487020970967835,-0.9203689243446558,-48.59234408505625,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59234408505625,-0.9203689243446558]}"
75,526.0,-99.60000000000002,625.6,0.26221335978952476,0.78309137,0.24852072,-0.24852072,0.38473282384010254,-0.9203689243446558,-48.592254253527834,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592254253527834,-0.9203689243446558]}"
76,614.0,-64.80000000000007,678.8,0.22623434037353193,0.74126536,0.2057971,-0.2057971,0.32346241421017946,-0.9202790928162438,-48.59306273728354,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59306273728354,-0.9202790928162438]}"
77,834.0,-225.20000000000005,1059.2,0.32808811946180644,0.8105444,0.31259722,-0.31259722,0.4599542328833476,-0.9202790928162438,-48.59297290575513,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59297290575513,-0.9202790928162438]}"
78,856.0,-239.60000000000002,1095.6000000000001,0.3364779872891203,0.8115817,0.32192847,-0.32192847,0.47152619536272644,-0.9202790928162438,-48.59288307422672,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288307422672,-0.9202790928162438]}"
79,840.0,-240.0,1080.0,0.332278480881219,0.8108227,0.32389936,-0.32389936,0.48018647962682226,-0.9202790928162438,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9202790928162438]}"
80,788.0,-214.4000000000001,1002.4000000000001,0.31519999987392,0.8056426,0.3089172,-0.3089172,0.46522781718797623,-0.9202790928162438,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9202790928162438]}"
81,740.0,-178.4000000000001,918.4000000000001,0.30782029937278693,0.79953814,0.2885246,-0.2885246,0.42822384376128486,-0.9202790928162438,-48.59261357964148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261357964148,-0.9202790928162438]}"
82,735.0,-183.80000000000007,918.8,0.29963310220153566,0.78952426,0.29068825,-0.29068825,0.4410319404901328,-0.9202790928162438,-48.59252374811307,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59252374811307,-0.9202790928162438]}"
83,619.0,-111.0,730.0,0.2608512430422035,0.7755857,0.24355777,-0.24355777,0.37516005073603065,-0.9202790928162438,-48.59243391658466,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59243391658466,-0.9202790928162438]}"
84,628.0,-116.80000000000007,744.8,0.2612312810893381,0.77427304,0.24671052,-0.24671052,0.3816793888273799,-0.9202790928162438,-48.59234408505625,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59234408505625,-0.9202790928162438]}"
85,693.0,-127.20000000000005,820.2,0.26379901017746515,0.77836645,0.24624625,-0.24624625,0.3783160318589204,-0.9201892612878319,-48.59306273728354,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59306273728354,-0.9201892612878319]}"
86,801.0,-230.80000000000007,1031.8,0.3179833265907172,0.81849027,0.31955484,-0.31955484,0.4860943162199585,-0.9201892612878319,-48.59297290575513,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59297290575513,-0.9201892612878319]}"
87,821.0,-211.80000000000007,1032.8,0.33118192806325863,0.8064516,0.3064133,-0.3064133,0.44380733894058794,-0.9201892612878319,-48.59288307422672,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288307422672,-0.9201892612878319]}"
88,772.0,-195.80000000000007,967.8,0.3169129719552903,0.80322653,0.29878542,-0.29878542,0.4413875592806369,-0.9201892612878319,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9201892612878319]}"
89,681.0,-149.4000000000001,830.4000000000001,0.28673684198453187,0.7942348,0.27015793,-0.27015793,0.40880503093232073,-0.9201892612878319,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9201892612878319]}"
90,722.0,-164.80000000000007,886.8,0.3093401883850299,0.79962546,0.2818792,-0.2818792,0.41277641226931644,-0.9201892612878319,-48.59261357964148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261357964148,-0.9201892612878319]}"
