system:index,EXG,EXR,ExGR,GLI1,NGRDI,RI,VARI,b1,b2,b3,lat,lon,res_m,.geo
81,74.31997,-14.875982,89.19595,0.18106605,0.27428463,-0.27428463,0.5809065,117.23337,140.7215,89.88965,-0.9192710658358743,-48.59269819998283,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59269819998283,-0.9192710658358743]}"
82,66.219986,-35.174984,101.39497,0.14861993,0.33763847,-0.33763847,1.09178,133.30359,135.64336,71.76312,-0.9193167497937712,-48.59341656279373,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59341656279373,-0.9193167497937712]}"
83,62.846107,-34.419724,97.26583,0.15624763,0.35942113,-0.35942113,1.2637864,125.24233,127.168945,66.24944,-0.91931671931695,-48.593371663214086,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593371663214086,-0.91931671931695]}"
84,69.505226,-42.987232,112.49246,0.17112364,0.40111393,-0.40111393,1.5693374,126.57196,128.62268,61.16818,-0.9193166888395614,-48.59332676363593,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59332676363593,-0.9193166888395614]}"
85,73.76222,-46.58799,120.35021,0.17490382,0.41172567,-0.41172567,1.6550446,132.245,134.34561,62.684017,-0.9193166583616056,-48.59328186405927,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59328186405927,-0.9193166583616056]}"
86,74.60819,-45.383,119.991196,0.1857115,0.41772494,-0.41772494,1.5218748,125.65964,130.55109,60.83435,-0.9193166278830822,-48.593236964484085,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593236964484085,-0.9193166278830822]}"
87,73.81734,-44.74894,118.56628,0.1751533,0.4046946,-0.4046946,1.5917311,132.6031,135.68872,64.95698,-0.9193165974039923,-48.59319206491039,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59319206491039,-0.9193165974039923]}"
88,71.55723,-44.658314,116.215546,0.17390774,0.4119355,-0.4119355,1.6680021,130.65263,132.46417,62.718468,-0.9193165669243346,-48.59314716533819,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59314716533819,-0.9193165669243346]}"
89,72.787575,-48.55721,121.34478,0.17225742,0.42992854,-0.42992854,2.0693557,136.59248,135.87492,62.369797,-0.9193165364441096,-48.593102265767484,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593102265767484,-0.9193165364441096]}"
90,71.19946,-50.69242,121.891884,0.16556422,0.43860275,-0.43860275,2.2912743,140.6335,136.59651,61.36007,-0.9193165059633174,-48.59305736619826,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59305736619826,-0.9193165059633174]}"
91,63.817635,-45.677002,109.49464,0.14396416,0.41061983,-0.41061983,1.79608,147.26059,138.79584,66.51345,-0.9193164754819583,-48.59301246663052,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301246663052,-0.9193164754819583]}"
92,60.072144,-45.627556,105.6997,0.13593142,0.4114029,-0.4114029,2.045294,146.33673,135.1916,63.974316,-0.9193164450000308,-48.592967567064285,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592967567064285,-0.9193164450000308]}"
93,59.887096,-46.173767,106.06087,0.12935093,0.39674944,-0.39674944,1.9015721,153.7173,140.48466,67.36492,-0.9193164145175374,-48.59292266749953,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59292266749953,-0.9193164145175374]}"
94,65.32704,-49.20052,114.527565,0.13807014,0.4022739,-0.4022739,2.1805503,154.20586,143.41418,67.29548,-0.9193163840344761,-48.59287776793626,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59287776793626,-0.9193163840344761]}"
95,71.08746,-51.832584,122.920044,0.15545765,0.4190411,-0.4190411,2.0398188,146.45215,140.4016,63.263577,-0.9193163535508477,-48.59283286837449,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283286837449,-0.9193163535508477]}"
96,63.363483,-45.59805,108.96153,0.15104371,0.40519252,-0.40519252,1.8169866,134.49713,128.55934,59.258068,-0.9193163230666522,-48.59278796881419,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59278796881419,-0.9193163230666522]}"
97,64.62223,-38.85383,103.47606,0.2128574,0.4402225,-0.4402225,1.4550264,88.55938,97.55579,41.929974,-0.919316292581889,-48.59274306925539,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59274306925539,-0.919316292581889]}"
98,74.77257,-34.764965,109.53753,0.25554058,0.40143162,-0.40143162,0.8582855,75.57621,97.62406,44.899357,-0.9193162620965586,-48.59269816969809,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59269816969809,-0.9193162620965586]}"
99,76.007164,-42.510704,118.51787,0.1716499,0.36884686,-0.36884686,1.1344465,130.51411,137.0106,67.49993,-0.9193619460784243,-48.59341653251653,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59341653251653,-0.9193619460784243]}"
100,73.76517,-42.613056,116.37823,0.16977671,0.37958091,-0.37958091,1.2771161,131.80334,136.2127,66.856895,-0.9193619156001046,-48.593371632936304,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593371632936304,-0.9193619156001046]}"
101,76.60366,-45.63389,122.23755,0.18284449,0.40530077,-0.40530077,1.4188968,129.05005,134.60072,63.547737,-0.9193618851212172,-48.59332673335759,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59332673335759,-0.9193618851212172]}"
102,68.66306,-41.54202,110.20508,0.1577561,0.3809788,-0.3809788,1.4838468,138.41089,137.97862,68.883286,-0.9193618546417627,-48.59328183378037,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59328183378037,-0.9193618546417627]}"
103,71.45661,-45.2998,116.75642,0.15936123,0.39306945,-0.39306945,1.6862667,141.41211,140.39801,67.92729,-0.9193618241617411,-48.59323693420462,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59323693420462,-0.9193618241617411]}"
104,65.40505,-43.13134,108.53639,0.14745848,0.38988248,-0.38988248,1.7861218,144.48335,139.28468,68.68096,-0.9193617936811519,-48.59319203463036,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59319203463036,-0.9193617936811519]}"
105,66.37538,-43.893185,110.26857,0.15133761,0.39834538,-0.39834538,2.0262797,143.62001,138.94466,67.893906,-0.9193617631999953,-48.5931471350576,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5931471350576,-0.9193617631999953]}"
106,63.414883,-41.18962,104.6045,0.1351458,0.3726578,-0.3726578,1.7849295,155.62738,147.48308,75.9239,-0.9193617327182718,-48.59310223548632,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59310223548632,-0.9193617327182718]}"
107,55.045296,-35.053246,90.09854,0.10855873,0.33136716,-0.33136716,1.3761495,165.76076,152.264,83.72198,-0.9193617022359809,-48.593057335916534,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593057335916534,-0.9193617022359809]}"
108,55.4859,-37.12781,92.61371,0.11577327,0.3493933,-0.3493933,1.5164495,156.41475,144.18506,76.46946,-0.919361671753123,-48.59301243634824,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301243634824,-0.919361671753123]}"
109,65.12799,-47.40043,112.52842,0.14097165,0.40143856,-0.40143856,2.0000944,150.78008,141.59492,67.28178,-0.919361641269697,-48.59296753678142,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59296753678142,-0.919361641269697]}"
110,63.171055,-45.045067,108.216125,0.12248131,0.36421275,-0.36421275,1.8875508,167.00537,154.00107,77.825714,-0.9193616107857044,-48.59292263721612,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59292263721612,-0.9193616107857044]}"
111,60.71768,-43.836338,104.554016,0.12188751,0.36598858,-0.36598858,1.8573498,160.73563,147.88794,74.32257,-0.9193615803011443,-48.59287773765229,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59287773765229,-0.9193615803011443]}"
112,60.36203,-43.298595,103.66063,0.13430478,0.38279358,-0.38279358,1.891453,145.82474,136.31271,66.43866,-0.9193615498160169,-48.592832838089954,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592832838089954,-0.9193615498160169]}"
113,63.384396,-45.02992,108.414314,0.16287947,0.4224981,-0.4224981,1.9679145,123.89989,120.64893,54.01358,-0.9193615193303224,-48.5927879385291,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5927879385291,-0.9193615193303224]}"
114,60.174107,-32.87706,93.05116,0.20275335,0.40635002,-0.40635002,1.2047119,89.59841,98.2247,46.67689,-0.9193614888440599,-48.59274303896973,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59274303896973,-0.9193614888440599]}"
115,62.29003,-33.27198,95.56201,0.2786759,0.4631101,-0.4631101,1.0996052,57.648296,74.800934,29.66354,-0.9193614583572313,-48.59269813941186,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59269813941186,-0.9193614583572313]}"
116,62.595432,-26.212875,88.80831,0.25968915,0.36385173,-0.36385173,0.711742,55.479847,77.27362,36.471962,-0.9193614278698348,-48.59265323985548,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59265323985548,-0.9193614278698348]}"
117,79.49744,-46.43597,125.9334,0.18665512,0.398021,-0.398021,1.2515126,125.72175,133.81715,62.415134,-0.9194071423630649,-48.59341650223782,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59341650223782,-0.9194071423630649]}"
